users listening on port 3002
users request | id=8e16a765-4e11-4951-ba2d-9921cc5fbc83 | GET /users/1 | status=200 | durationMs=1
users request | id=766d614e-f3be-4564-9f63-1f8835b6d320 | GET /users/1 | status=200 | durationMs=0
users request | id=bdfe5d0c-d323-400c-940c-a140af6770eb | GET /users/1 | status=200 | durationMs=1
users request | id=30845426-2fe3-4b84-9187-55897a80a6dd | GET /users/1 | status=200 | durationMs=0
users request | id=27b11359-0287-43b2-b073-46834efc6e77 | GET /users/1 | status=200 | durationMs=0
users request | id=aae1424e-2308-4e50-9481-4f0f329f50b7 | GET /users/1 | status=200 | durationMs=0
users request | id=7116e2d8-7901-48c2-b42b-122325f2b774 | GET /users/1 | status=200 | durationMs=0
users request | id=b850e924-55bb-4f03-bf34-2613cfccdeb1 | GET /users/1 | status=200 | durationMs=1
users request | id=2fa30864-6534-47f7-af4b-a901f602be1d | GET /users/1 | status=200 | durationMs=0
users request | id=2d518748-8b1a-4e61-bd51-955830bb6ee9 | GET /users/1 | status=200 | durationMs=0
users request | id=4c0460a8-3ff4-4edb-85f0-9e27c506b808 | GET /users/1 | status=200 | durationMs=0
users request | id=dfc64271-7444-4aa1-b533-52c0eeb682fd | GET /users/1 | status=200 | durationMs=0
users request | id=0bfa095a-ba2a-4e4f-9f4d-980155b99e6c | GET /users/1 | status=200 | durationMs=0
users request | id=df6f046d-e7a3-43d9-a239-abee23774e95 | GET /users/1 | status=200 | durationMs=0
users request | id=0d42b9ed-a6c2-4ad2-8b73-d70808edaa2c | GET /users/1 | status=200 | durationMs=0
users request | id=c42a823a-265a-4812-a0f2-bf108df8040b | GET /users/1 | status=200 | durationMs=1
users request | id=335ea0b2-ca10-4e91-b92e-c23ba46a6a08 | GET /users/1 | status=200 | durationMs=0
users request | id=833f59e3-fa45-4f07-a908-11e40eb8d118 | GET /users/1 | status=200 | durationMs=1
users request | id=3482511f-5fbc-48cf-9335-4acdac343631 | GET /users/1 | status=200 | durationMs=0
users request | id=a835c9ff-33fc-4519-bb3c-9a7bccc4d69b | GET /users/1 | status=200 | durationMs=0
users request | id=86f93bd4-f43b-4db9-9b93-6a481c446114 | GET /users/1 | status=200 | durationMs=1
users request | id=c64c1eae-3a20-41c3-8040-db275d86a15f | GET /users/1 | status=200 | durationMs=1
users request | id=d5c6dd0c-63c9-4166-bef7-1516217f7fb9 | GET /users/1 | status=200 | durationMs=0
users request | id=d4c55ee8-7ee6-48cc-a087-3e30007fa639 | GET /users/1 | status=200 | durationMs=0
users request | id=9edc5bb9-2db6-431c-814f-747af454eb3c | GET /users/1 | status=200 | durationMs=0
users request | id=ab857afa-c65c-4f10-a354-f496699d2b91 | GET /users/1 | status=200 | durationMs=1
users request | id=ba5857e9-9d7e-4f9d-8270-55f2ccd6f7a1 | GET /users/1 | status=200 | durationMs=0
users request | id=5af8c0b8-0a94-4f0b-8159-2c0f8acc2dc6 | GET /users/1 | status=200 | durationMs=0
users request | id=70cb97ee-e9d8-4c20-9e8a-828d211184af | GET /users/1 | status=200 | durationMs=0
users request | id=813d7e13-e876-46df-a5fe-606ad6e23bec | GET /users/1 | status=200 | durationMs=0
users request | id=56274801-c99d-4a83-91cb-01020396f0b2 | GET /users/1 | status=200 | durationMs=0
users request | id=bf992d61-c9f8-4176-b199-873302dca1ba | GET /users/1 | status=200 | durationMs=0
users request | id=721aa258-23e2-43f6-b9f8-0b52d9323513 | GET /users/1 | status=200 | durationMs=0
users request | id=972d696e-a0e1-406e-8149-76db5b91e6e1 | GET /users/1 | status=200 | durationMs=0
users request | id=860329b6-569b-4006-8454-117ce445fa5d | GET /users/1 | status=200 | durationMs=0
users request | id=2dd797f4-4e22-4175-96aa-205c94c9f3a5 | GET /users/1 | status=200 | durationMs=0
users request | id=5f0c457f-789b-4ed3-990f-2e6edcfd3344 | GET /users/1 | status=200 | durationMs=0
users request | id=16d2c481-fc00-4047-aae9-4ec8a08f805f | GET /users/1 | status=200 | durationMs=0
users request | id=0b25644f-0246-47cb-bd4b-def063780a15 | GET /users/1 | status=200 | durationMs=0
users request | id=906de184-9ae4-46d3-8ed8-081bf4945236 | GET /users/1 | status=200 | durationMs=0
users request | id=05276b68-6d64-43c9-b485-37460f16d54b | GET /users/1 | status=200 | durationMs=0
users request | id=40d68ebd-58f9-4aab-b06c-63ade56613d7 | GET /users/1 | status=200 | durationMs=0
users request | id=bba1a7e7-8f2a-4b1e-bd28-e193bc623824 | GET /users/1 | status=200 | durationMs=1
users request | id=47481a06-d08d-4868-9ffa-ffadb3887e8e | GET /users/1 | status=200 | durationMs=0
users request | id=d5f52d39-e638-4cc4-a25f-a0e6a25f3b00 | GET /users/1 | status=200 | durationMs=0
users request | id=6bc16920-ca4b-4026-8b3a-1431c736dcf2 | GET /users/1 | status=200 | durationMs=1
users request | id=212cd802-5682-4ae8-a2ec-5e5a39193aee | GET /users/1 | status=200 | durationMs=0
users request | id=99ace477-dea5-49ab-bd23-9ad452fd2c8d | GET /users/1 | status=200 | durationMs=0
users request | id=b52a3666-9159-429a-9e28-91538b0ce666 | GET /users/1 | status=200 | durationMs=0
users request | id=8a1ed24a-742d-4260-8573-f462bc5ead6e | GET /users/1 | status=200 | durationMs=0
users request | id=d0d82028-120a-459b-a418-7aadd329eb38 | GET /users/1 | status=200 | durationMs=0
users request | id=36b7881c-e109-4e26-bf33-69d36f5c0690 | GET /users/1 | status=200 | durationMs=0
users request | id=34e2fafc-eb92-4849-a07d-c5ae82345233 | GET /users/1 | status=200 | durationMs=0
users request | id=0ef66692-66b8-481f-93d0-792520797c5a | GET /users/1 | status=200 | durationMs=1
users request | id=87576116-c6b0-4d51-afb2-6a79c06c7be4 | GET /users/1 | status=200 | durationMs=0
users request | id=278a1cb2-07f3-4706-ae01-854b4b20bd9f | GET /users/1 | status=200 | durationMs=0
users request | id=241d91e4-d971-4086-891d-1ef18719d540 | GET /users/1 | status=200 | durationMs=0
users request | id=fa5bd2c5-e386-46d3-b20b-9372b31d3f05 | GET /users/1 | status=200 | durationMs=0
users request | id=8280de22-2f81-4de0-be06-32951a2bc81a | GET /users/1 | status=200 | durationMs=0
users request | id=88830684-87ac-4258-b439-07b6763a9383 | GET /users/1 | status=200 | durationMs=0
users request | id=ad1c0e23-9f61-46b3-9daa-7f8ecec742c4 | GET /users/1 | status=200 | durationMs=0
users request | id=eed29b73-0050-40fd-8081-dd3d22254ff4 | GET /users/1 | status=200 | durationMs=0
users request | id=3cde73f3-1160-4909-9728-c3b92118b5d9 | GET /users/1 | status=200 | durationMs=0
users request | id=dff6b400-3e92-498f-b721-4f7d75dca715 | GET /users/1 | status=200 | durationMs=0
users request | id=7e8e249b-acd4-468e-94b8-6824c71634de | GET /users/1 | status=200 | durationMs=0
users request | id=9808b8c1-bffc-4053-a290-02c2e20e7b12 | GET /users/1 | status=200 | durationMs=1
users request | id=db9a0228-e484-4252-91ef-f41782466f20 | GET /users/1 | status=200 | durationMs=0
users request | id=c5d4cb93-b51f-4a7b-82b5-ad9821f1ce9c | GET /users/1 | status=200 | durationMs=0
users request | id=cb897bf3-747f-47d5-b9f0-c973ce5b02c2 | GET /users/1 | status=200 | durationMs=1
users request | id=bd148fde-6b1f-4076-a3cf-165a60806f4f | GET /users/1 | status=200 | durationMs=0
users request | id=ce1dfc75-578c-4530-9175-78b2217ae6e7 | GET /users/1 | status=200 | durationMs=0
users request | id=52de9001-e101-483f-9b09-67ba50890364 | GET /users/1 | status=200 | durationMs=0
users request | id=2b1ddc35-8912-438b-94a2-c73389404524 | GET /users/1 | status=200 | durationMs=1
users request | id=1a2eaba3-c280-4831-9049-82c56077e7d1 | GET /users/1 | status=200 | durationMs=0
users request | id=d0db30b6-4c0a-4955-ae77-e8f78aea862f | GET /users/1 | status=200 | durationMs=0
users request | id=a8dedbcb-0242-4047-a5fc-d703ecbdcac0 | GET /users/1 | status=200 | durationMs=1
users request | id=edf6cad2-5789-4a19-ad3b-acf5b409eac0 | GET /users/1 | status=200 | durationMs=0
users request | id=f44d6f80-f4cf-433f-9be7-ffc42e347008 | GET /users/1 | status=200 | durationMs=1
users request | id=72dd5bd5-b8bf-4f3d-b26c-5b2e6d942842 | GET /users/1 | status=200 | durationMs=0
users request | id=d1ac7281-12ec-45d4-8a6f-5692b65ea970 | GET /users/1 | status=200 | durationMs=1
users request | id=1935487e-6c2e-4192-b0eb-2cf3417fa189 | GET /users/1 | status=200 | durationMs=0
users request | id=d9d9cfe5-1fff-46e5-b473-d17082a074c4 | GET /users/1 | status=200 | durationMs=0
users request | id=e94b38f6-5abc-4513-9424-ea4ce7411e9b | GET /users/1 | status=200 | durationMs=0
users request | id=27c00f42-bf57-4841-9e65-25fae52e1e56 | GET /users/1 | status=200 | durationMs=0
users request | id=51e5f7cf-a97a-4327-b2c5-508424c764eb | GET /users/1 | status=200 | durationMs=0
users request | id=8156b14b-d481-4ab7-8bcc-0abd6c06183d | GET /users/1 | status=200 | durationMs=0
users request | id=469c9d70-df6a-484a-82f5-6bbb27fd777b | GET /users/1 | status=200 | durationMs=0
users request | id=d32be3cb-f21a-4e7e-b22e-6b3f18699913 | GET /users/1 | status=200 | durationMs=1
users request | id=3f9188ad-89cb-4dd6-9dae-c827fc004fd4 | GET /users/1 | status=200 | durationMs=0
