users listening on port 3002
users request | id=3aa8c461-3c7a-4365-b7c5-eeea69cc8e24 | GET /users/1 | status=200 | durationMs=0
users request | id=3edfc810-9a76-4db3-b38d-19b408cb9c40 | GET /users/1 | status=200 | durationMs=0
users request | id=3a93baa8-b228-40ff-a95b-c1f3b28c4747 | GET /users/1 | status=200 | durationMs=0
users request | id=22ec702f-3654-402c-ba61-a4b34d78936f | GET /users/1 | status=200 | durationMs=0
users request | id=dc05795f-433c-4032-9e23-7dbcd8f823f2 | GET /users/1 | status=200 | durationMs=0
users request | id=1e93ecda-851d-492a-a179-950e74b38049 | GET /users/1 | status=200 | durationMs=0
users request | id=64c4d139-529e-4d24-aec8-1d1a9c7f3432 | GET /users/1 | status=200 | durationMs=0
users request | id=9c819318-db05-4c6e-bf6b-430154be64d7 | GET /users/1 | status=200 | durationMs=0
users request | id=5447cbb6-e15c-4b1b-a41a-17b5a86d9618 | GET /users/1 | status=200 | durationMs=0
users request | id=c53ab486-1112-4e1d-b32f-f4a383298e70 | GET /users/1 | status=200 | durationMs=0
users request | id=6d0c61a9-2c89-4a77-bb2e-c51507bc0bd2 | GET /users/1 | status=200 | durationMs=0
users request | id=24c0c343-86d7-4be6-a8b4-dea93905abaa | GET /users/1 | status=200 | durationMs=1
users request | id=49b29172-7af3-4798-98a0-2e67c273751d | GET /users/1 | status=200 | durationMs=0
users request | id=0bc0cffb-72c3-49d1-be52-2b2f7ae6f3a7 | GET /users/1 | status=200 | durationMs=0
users request | id=bf2e8c5f-ae2f-4f21-9400-9c8e773648a1 | GET /users/1 | status=200 | durationMs=0
users request | id=34a284cc-b5eb-4b66-b1a6-5aa4a1186153 | GET /users/1 | status=200 | durationMs=0
users request | id=f9614988-32a2-46fe-80ba-4387131a96cc | GET /users/1 | status=200 | durationMs=0
users request | id=7ec1ca72-9d4c-4cac-a287-73caad760b81 | GET /users/1 | status=200 | durationMs=1
users request | id=0c2dbc71-a09b-4993-a5e2-b047e2206791 | GET /users/1 | status=200 | durationMs=0
users request | id=5a579224-9a32-4023-9a0e-24cc2b394a59 | GET /users/1 | status=200 | durationMs=1
users request | id=51b8027e-192a-4d4a-b651-6102a0e5557a | GET /users/1 | status=200 | durationMs=0
users request | id=cfdfa475-d07b-41dc-bc29-c0c5979b656c | GET /users/1 | status=200 | durationMs=0
users request | id=3335ec25-2c94-4f56-aadd-2dceddbebe77 | GET /users/1 | status=200 | durationMs=0
users request | id=d1628b15-eec4-4c76-8840-54213d2b3adf | GET /users/1 | status=200 | durationMs=0
users request | id=ab7e59e7-0975-42b2-91ef-77b006dd8b41 | GET /users/1 | status=200 | durationMs=0
users request | id=5e843196-306a-4734-9dab-fe7da1449f37 | GET /users/1 | status=200 | durationMs=1
users request | id=27f3512a-44b4-4873-815a-5c778e91db89 | GET /users/1 | status=200 | durationMs=0
users request | id=fc2363c2-98e4-4a12-925d-dc131d5ed3f1 | GET /users/1 | status=200 | durationMs=1
users request | id=26d4691b-83ef-450c-bb7d-129992e08060 | GET /users/1 | status=200 | durationMs=1
users request | id=0d318d40-e8cf-400b-9703-1a5186c9c1ad | GET /users/1 | status=200 | durationMs=0
users request | id=79ca7151-36a7-4297-9040-f35217a348b3 | GET /users/1 | status=200 | durationMs=0
users request | id=aa3ad221-8906-454d-b23c-ee2d7046e6ee | GET /users/1 | status=200 | durationMs=1
users request | id=4b9408ee-856f-471f-a14b-a28a1effbd9c | GET /users/1 | status=200 | durationMs=0
users request | id=0c31e8c7-ca06-4169-89ad-11ff5c711de0 | GET /users/1 | status=200 | durationMs=0
users request | id=82ed1e9e-5b5c-45e8-8d79-033cb646a263 | GET /users/1 | status=200 | durationMs=0
users request | id=0fd2ac1d-f2d6-4550-b2b9-323413653a53 | GET /users/1 | status=200 | durationMs=0
users request | id=fe5545b3-d786-46af-9859-8f2014e33e09 | GET /users/1 | status=200 | durationMs=0
users request | id=ea0a3e77-5414-40d7-979f-c4b31af5e515 | GET /users/1 | status=200 | durationMs=0
users request | id=b559e4cb-9482-489a-a1c7-07191c1931ec | GET /users/1 | status=200 | durationMs=1
users request | id=d85537d5-6877-4eaf-81c8-3f6aa77ed1d8 | GET /users/1 | status=200 | durationMs=0
users request | id=6ab23d6e-5cd3-4bc6-a610-5dcc8fc7f906 | GET /users/1 | status=200 | durationMs=1
