catalog cache disabled
catalog listening on port 3001
catalog request | id=68dd0013-90e5-41a7-a482-10551f0b8786 | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=8adb23b0-1197-4ffe-9834-3114a01689b4 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=d6e5e025-dc7f-49ce-9b1b-038332cec2c3 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=1a141fb4-1a2f-477f-8d1b-bdfeb67fef8a | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=120d5046-480b-4329-a8d9-64ac2b7f931e | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=79fea7bb-e536-4217-921e-bd6886d7f752 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=edd2d692-7d86-4593-9f95-07b2f80be11f | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=593e52a7-afdc-408a-8453-31340008631f | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=e63f5e29-1f5b-4f5b-a4e6-9ed499d09b65 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=b62799f7-b1f3-4499-ae09-8252da7cdd39 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=11726d6e-b723-438d-8600-e96efe4e123a | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=fe471f8b-adaf-4d7c-a1c9-0c564ba7b4ee | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=874718ea-5a12-4398-b261-4137082e9a2c | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=fd7fc1e2-7e04-4e82-9e72-a5eee0a62dd8 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=94e75a74-6860-43ee-984f-c8adc7063cd0 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=55868ea0-1dbf-4d61-bc45-cc5570eaf249 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=16ec9b44-c824-4f17-9e0a-a0d6edc9294e | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=80643efe-241c-4fc6-8e22-bf617c837663 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=192ef872-dc45-45c1-9d31-c5b592fff2b8 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=b6b579e2-48a4-4aa1-b9e7-94c32a972a45 | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=5b3e7a27-73eb-47ef-b9cb-412583c402c2 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=5f858ea8-68fe-429f-96fa-cbd8b924bbae | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=feb91045-1732-40b4-9ffc-c3c6a4839e45 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=60e3e134-946a-48d5-8a11-65461f555308 | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=b32eea37-add0-4eed-90c8-f20577cc0a95 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=ef5664d2-c9e9-4083-8c52-5382549dc04c | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=f23e8d1d-e0d9-4245-9b05-ae9ce17312fe | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=f8443dcc-a725-4b83-9225-ec9f7e6ff83d | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=2380ac4c-e14d-4e1a-9ae0-87a473de0718 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=094dba25-01c0-4021-8462-618bf6220f08 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=24e50b3d-366f-4592-a380-46035f6cb66c | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=8807f56a-bc6d-4507-be1a-44ca13be49af | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
